Geo Code,Geo Name,Line Number
"01G0V","G0V",30990
"01G0W","G0W",31117
"01G0X","G0X",31244
"01G0Y","G0Y",31371
"01G0Z","G0Z",31498
"01G1B","G1B",31625
"01G1C","G1C",31752
"01G1E","G1E",31879
"01G1G","G1G",32006
"01G1H","G1H",32133
"01G1J","G1J",32260
"01G1K","G1K",32387
"01G1L","G1L",32514
"01G1M","G1M",32641
"01G1N","G1N",32768
"01G1P","G1P",32895
"01G1R","G1R",33022
"01G1S","G1S",33149
"01G1T","G1T",33276
"01G1V","G1V",33403
"01G1W","G1W",33530
"01G1X","G1X",33657
"01G1Y","G1Y",33784
"01G2A","G2A",33911
"01G2B","G2B",34038
"01G2C","G2C",34165
"01G2E","G2E",34292
"01G2G","G2G",34419
"01G2J","G2J",34546
"01G2K","G2K",34673
"01G2L","G2L",34800
"01G2M","G2M",34927
"01G2N","G2N",35054
"01G3A","G3A",35181
"01G3B","G3B",35308
"01G3C","G3C",35435
"01G3E","G3E",35562
"01G3G","G3G",35689
"01G3H","G3H",35816
"01G3J","G3J",35943
"01G3K","G3K",36070
"01G3L","G3L",36197
"01G3M","G3M",36324
"01G3N","G3N",36451
"01G3Z","G3Z",36578
"01G4A","G4A",36705
"01G4R","G4R",36832
"01G4S","G4S",36959
"01G4T","G4T",37086
"01G4V","G4V",37213
"01G4W","G4W",37340
"01G4X","G4X",37467
"01G4Z","G4Z",37594
"01G5A","G5A",37721
"01G5B","G5B",37848
"01G5C","G5C",37975
"01G5H","G5H",38102
"01G5J","G5J",38229
"01G5L","G5L",38356
"01G5M","G5M",38483
"01G5N","G5N",38610
"01G5R","G5R",38737
"01G5T","G5T",38864
"01G5V","G5V",38991
"01G5X","G5X",39118
"01G5Y","G5Y",39245
"01G5Z","G5Z",39372
"01G6A","G6A",39499
"01G6B","G6B",39626
"01G6C","G6C",39753
"01G6E","G6E",39880
"01G6G","G6G",40007
"01G6H","G6H",40134
"01G6J","G6J",40261
"01G6K","G6K",40388
"01G6L","G6L",40515
"01G6P","G6P",40642
"01G6R","G6R",40769
"01G6S","G6S",40896
"01G6T","G6T",41023
"01G6V","G6V",41150
"01G6W","G6W",41277
"01G6X","G6X",41404
"01G6Y","G6Y",41531
"01G6Z","G6Z",41658
"01G7A","G7A",41785
"01G7B","G7B",41912
"01G7G","G7G",42039
"01G7H","G7H",42166
"01G7J","G7J",42293
"01G7K","G7K",42420
"01G7N","G7N",42547
"01G7P","G7P",42674
"01G7S","G7S",42801
"01G7T","G7T",42928
"01G7X","G7X",43055
"01G7Y","G7Y",43182
"01G7Z","G7Z",43309
"01G8A","G8A",43436
"01G8B","G8B",43563
"01G8C","G8C",43690
"01G8E","G8E",43817
"01G8G","G8G",43944
"01G8H","G8H",44071
"01G8J","G8J",44198
"01G8K","G8K",44325
"01G8L","G8L",44452
"01G8M","G8M",44579
"01G8N","G8N",44706
"01G8P","G8P",44833
"01G8T","G8T",44960
"01G8V","G8V",45087
"01G8W","G8W",45214
"01G8Y","G8Y",45341
"01G8Z","G8Z",45468
"01G9A","G9A",45595
"01G9B","G9B",45722
"01G9C","G9C",45849
"01G9H","G9H",45976
"01G9N","G9N",46103
"01G9P","G9P",46230
"01G9R","G9R",46357
"01G9T","G9T",46484
"01G9X","G9X",46611
"01H0M","H0M",46738
"01H1A","H1A",46865
"01H1B","H1B",46992
"01H1C","H1C",47119
"01H1E","H1E",47246
"01H1G","H1G",47373
"01H1H","H1H",47500
"01H1J","H1J",47627
"01H1K","H1K",47754
"01H1L","H1L",47881
"01H1M","H1M",48008
"01H1N","H1N",48135
"01H1P","H1P",48262
"01H1R","H1R",48389
"01H1S","H1S",48516
"01H1T","H1T",48643
"01H1V","H1V",48770
"01H1W","H1W",48897
"01H1X","H1X",49024
"01H1Y","H1Y",49151
"01H1Z","H1Z",49278
"01H2A","H2A",49405
"01H2B","H2B",49532
"01H2C","H2C",49659
"01H2E","H2E",49786
"01H2G","H2G",49913
"01H2H","H2H",50040
"01H2J","H2J",50167
"01H2K","H2K",50294
"01H2L","H2L",50421
"01H2M","H2M",50548
"01H2N","H2N",50675
"01H2P","H2P",50802
"01H2R","H2R",50929
"01H2S","H2S",51056
"01H2T","H2T",51183
"01H2V","H2V",51310
"01H2W","H2W",51437
"01H2X","H2X",51564
"01H2Y","H2Y",51691
"01H2Z","H2Z",51818
"01H3A","H3A",51945
"01H3B","H3B",52072
"01H3C","H3C",52199
"01H3E","H3E",52326
"01H3G","H3G",52453
"01H3H","H3H",52580
"01H3J","H3J",52707
"01H3K","H3K",52834
"01H3L","H3L",52961
"01H3M","H3M",53088
