"Date","naccidents","nfatal"
"23/02/2010",397,2
"23/03/2010",423,5
"23/04/2010",529,4
"23/05/2010",471,14
"23/06/2010",533,2
"23/07/2010",475,1
"23/08/2010",458,3
"23/09/2010",541,6
"23/10/2010",462,7
"23/11/2010",500,5
"23/12/2010",341,8
"24/01/2010",242,4
"24/02/2010",436,4
"24/03/2010",416,4
"24/04/2010",419,5
"24/05/2010",517,6
"24/06/2010",483,6
"24/07/2010",372,4
"24/08/2010",436,4
"24/09/2010",479,6
"24/10/2010",336,6
"24/11/2010",497,4
"24/12/2010",362,5
"25/01/2010",346,4
"25/02/2010",437,5
"25/03/2010",452,0
"25/04/2010",305,4
"25/05/2010",462,6
"25/06/2010",527,3
"25/07/2010",294,2
"25/08/2010",467,4
"25/09/2010",436,8
"25/10/2010",488,5
"25/11/2010",470,1
"25/12/2010",168,0
"26/01/2010",383,6
"26/02/2010",471,6
"26/03/2010",506,9
"26/04/2010",443,4
"26/05/2010",441,4
"26/06/2010",476,5
"26/07/2010",425,1
"26/08/2010",500,7
"26/09/2010",342,8
"26/10/2010",500,4
"26/11/2010",571,7
"26/12/2010",213,6
"27/01/2010",409,3
"27/02/2010",346,2
"27/03/2010",372,6
"27/04/2010",482,3
"27/05/2010",504,5
"27/06/2010",384,4
"27/07/2010",384,6
"27/08/2010",436,4
"27/09/2010",467,2
"27/10/2010",467,2
"27/11/2010",443,8
"27/12/2010",202,3
"28/01/2010",409,2
"28/02/2010",273,9
"28/03/2010",315,10
"28/04/2010",427,4
"28/05/2010",559,7
"28/06/2010",516,3
"28/07/2010",456,5
"28/08/2010",424,7
"28/09/2010",424,5
"28/10/2010",401,6
"28/11/2010",291,3
"28/12/2010",199,6
"29/01/2010",522,4
"29/03/2010",421,2
"29/04/2010",444,6
"29/05/2010",511,11
"29/06/2010",496,7
"29/07/2010",434,6
"29/08/2010",361,8
"29/09/2010",597,8
"29/10/2010",458,3
"29/11/2010",395,5
"29/12/2010",228,2
"30/01/2010",545,8
"30/03/2010",441,4
"30/04/2010",530,5
"30/05/2010",357,3
"30/06/2010",451,5
"30/07/2010",474,5
"30/08/2010",367,6
"30/09/2010",516,4
"30/10/2010",492,7
"30/11/2010",409,2
"30/12/2010",186,0
"31/01/2010",345,7
"31/03/2010",404,3
"31/05/2010",291,2
"31/07/2010",422,4
"31/08/2010",466,2
"31/10/2010",366,4
"31/12/2010",205,4
